Date,Open,High,Low,Close,Volume,Adj Close
2016-06-14,9.65,9.65,9.20,9.41,230900,9.41
2016-06-13,9.72,9.75,9.60,9.65,123900,9.65
2016-06-10,9.76,9.80,9.62,9.72,325200,9.72
2016-06-09,9.60,9.80,9.55,9.76,499900,9.76
2016-06-08,9.28,9.61,9.28,9.60,612100,9.60
2016-06-07,9.11,9.30,9.11,9.28,390800,9.28
2016-06-06,9.17,9.23,8.98,9.10,174700,9.10
2016-06-03,9.15,9.17,9.00,9.17,417100,9.17
2016-06-02,9.10,9.20,8.88,9.10,550500,9.10
2016-06-01,9.00,9.23,9.00,9.10,280400,9.10
2016-05-31,9.20,9.30,9.00,9.17,212600,9.17
2016-05-30,9.15,9.23,9.15,9.20,85500,9.20
2016-05-27,9.05,9.24,9.05,9.15,376000,9.15
2016-05-26,8.95,9.10,8.50,9.00,657900,9.00
2016-05-25,8.45,8.45,8.45,8.45,000,8.45
2016-05-24,8.90,9.00,8.40,8.45,470600,8.45
2016-05-23,8.70,9.00,8.70,8.86,112100,8.86
2016-05-20,8.65,8.95,8.65,8.86,259100,8.86
2016-05-19,8.50,8.68,8.35,8.68,459300,8.68
2016-05-18,8.70,8.85,8.57,8.57,228900,8.57
2016-05-17,9.00,9.05,8.65,8.70,356000,8.70
2016-05-16,9.10,9.30,9.00,9.03,162700,9.03
2016-05-13,9.28,9.28,9.01,9.13,237400,9.13
2016-05-12,9.27,9.35,9.05,9.20,296300,9.20
2016-05-11,9.64,9.75,9.26,9.29,525200,9.29
2016-05-10,9.60,9.90,9.50,9.67,244700,9.67
2016-05-09,9.75,9.75,9.50,9.63,285200,9.63
2016-05-06,9.63,9.80,9.60,9.80,207200,9.80
2016-05-05,9.63,9.80,9.62,9.70,279800,9.70
2016-05-04,9.61,9.75,9.61,9.61,208500,9.61
2016-05-03,9.80,9.80,9.60,9.61,217900,9.61
2016-05-02,10.00,10.00,9.75,9.81,152500,9.81
2016-04-29,10.05,10.05,9.80,9.97,195200,9.97
2016-04-28,10.40,10.50,10.10,10.10,226600,10.10
2016-04-27,10.20,10.45,10.00,10.40,448300,10.40
2016-04-26,9.75,10.25,9.75,10.20,300400,10.20
2016-04-25,10.30,10.30,9.70,9.75,433200,9.75
2016-04-22,10.00,10.50,10.00,10.35,405500,10.35
2016-04-21,10.50,10.50,10.10,10.30,374300,10.30
2016-04-20,10.10,10.30,10.00,10.15,571600,10.15
2016-04-19,9.52,10.10,9.50,10.05,574400,10.05
2016-04-18,9.50,9.53,9.20,9.48,406900,9.48
2016-04-15,9.50,9.60,9.33,9.53,575600,9.53
2016-04-14,9.80,9.90,9.35,9.50,591300,9.50
2016-04-13,9.48,9.80,9.48,9.70,434100,9.70
2016-04-12,9.20,9.48,9.00,9.48,799300,9.48
2016-04-11,9.42,9.60,9.10,9.15,232700,9.15
2016-04-08,9.69,9.70,9.30,9.37,315100,9.37
2016-04-07,10.00,10.00,9.30,9.40,298700,9.40
2016-04-06,9.93,10.15,9.70,9.90,780400,9.90
2016-04-05,10.45,10.45,9.90,9.95,298500,9.95
2016-04-04,10.70,10.95,10.30,10.45,132400,10.45
2016-04-01,10.45,10.85,10.35,10.70,248600,10.70
2016-03-31,10.50,10.75,10.35,10.45,343700,10.45
2016-03-30,10.70,11.00,10.25,10.50,331300,10.50
2016-03-29,10.40,10.80,10.20,10.75,697600,10.75
2016-03-28,10.45,10.75,10.35,10.50,211400,10.50
2016-03-25,10.45,10.45,10.45,10.45,000,10.45
2016-03-24,10.45,10.45,10.45,10.45,000,10.45
2016-03-23,10.70,10.70,10.25,10.45,77600,10.45
2016-03-22,10.55,10.90,10.40,10.70,344500,10.70
2016-03-21,10.40,10.75,10.20,10.60,500200,10.60
2016-03-18,10.50,10.75,10.30,10.45,232000,10.45
2016-03-17,9.90,10.40,9.90,10.30,582200,10.30
2016-03-16,9.70,9.90,9.66,9.90,382300,9.90
2016-03-15,9.90,9.90,9.50,9.73,390300,9.73
2016-03-14,10.10,10.10,9.70,10.00,641300,10.00
2016-03-11,10.45,10.50,10.00,10.20,295900,10.20
2016-03-10,11.00,11.00,10.25,10.40,697000,10.40
2016-03-09,11.05,11.10,10.65,10.90,516000,10.90
2016-03-08,10.80,11.10,10.75,11.00,316100,11.00
2016-03-07,11.10,11.10,10.75,10.90,553600,10.90
2016-03-04,11.35,11.35,10.80,11.10,675900,11.10
2016-03-03,11.30,11.65,11.20,11.40,735900,11.40
2016-03-02,11.30,11.35,10.70,11.20,875300,11.20
2016-03-01,11.10,11.45,11.10,11.25,1169900,11.25
2016-02-29,10.70,11.10,10.70,11.10,1792900,11.10
2016-02-26,10.50,10.80,10.20,10.70,945600,10.70
2016-02-25,9.80,10.45,9.75,10.45,1121200,10.45
2016-02-24,9.69,9.80,9.35,9.80,781000,9.80
2016-02-23,9.41,9.64,9.41,9.63,615600,9.63
2016-02-22,9.20,9.49,9.15,9.49,1141300,9.49
2016-02-19,9.35,9.35,8.95,9.00,778500,9.00
2016-02-18,9.31,9.50,9.25,9.35,994100,9.35
2016-02-17,9.00,9.35,9.00,9.32,952200,9.32
2016-02-16,8.80,8.96,8.50,8.95,541700,8.95
2016-02-15,8.72,8.95,8.60,8.65,404100,8.65
2016-02-12,8.41,8.75,8.35,8.72,796300,8.72
2016-02-11,8.95,8.95,8.35,8.50,521400,8.50
2016-02-10,9.25,9.25,8.80,8.90,347100,8.90
2016-02-09,9.30,9.30,9.30,9.30,000,9.30
2016-02-08,9.30,9.30,9.30,9.30,000,9.30
2016-02-05,9.47,9.47,9.20,9.30,377000,9.30
2016-02-04,9.22,9.40,9.20,9.30,561500,9.30
2016-02-03,9.23,9.40,8.95,9.16,514500,9.16
2016-02-02,9.52,9.52,9.10,9.25,269700,9.25
2016-02-01,9.47,9.59,9.20,9.53,305300,9.53
2016-01-29,9.30,9.55,9.15,9.47,353300,9.47
2016-01-28,9.11,9.30,9.02,9.20,455700,9.20
2016-01-27,9.10,9.17,9.00,9.17,383000,9.17
2016-01-26,8.90,9.15,8.85,9.00,219900,9.00
2016-01-25,8.77,8.99,8.65,8.90,298100,8.90
2016-01-22,8.50,8.90,8.40,8.75,655300,8.75
2016-01-21,8.07,8.40,8.01,8.22,400000,8.22
2016-01-20,8.22,8.25,7.88,8.00,741300,8.00
2016-01-19,8.40,8.65,8.07,8.22,882800,8.22
2016-01-18,8.75,8.75,8.18,8.25,397100,8.25
2016-01-15,9.10,9.10,8.50,8.63,782500,8.63
2016-01-14,9.15,9.38,8.90,9.25,380100,9.25
2016-01-13,9.70,9.90,9.10,9.15,721200,9.15
2016-01-12,10.25,10.40,9.50,9.60,1067300,9.60
2016-01-11,10.65,10.80,10.05,10.25,388200,10.25
2016-01-08,10.85,11.00,10.50,10.55,161700,10.55
2016-01-07,10.90,11.00,10.55,10.80,204300,10.80
2016-01-06,11.45,11.45,10.85,10.90,316800,10.90
2016-01-05,11.35,11.50,11.05,11.40,340700,11.40
2016-01-04,11.80,11.80,11.05,11.45,301200,11.45
2016-01-01,11.75,11.75,11.75,11.75,000,11.75
2015-12-31,11.75,11.75,11.75,11.75,000,11.75
2015-12-30,11.55,11.80,11.00,11.75,749600,11.75
2015-12-29,11.60,11.80,11.30,11.50,402600,11.50
2015-12-28,11.85,11.95,11.25,11.60,598200,11.5856
2015-12-25,11.85,11.85,11.85,11.85,000,11.83529
2015-12-24,11.85,11.85,11.85,11.85,000,11.83529
2015-12-23,11.20,11.90,11.15,11.85,972200,11.83529
2015-12-22,11.05,11.30,10.80,11.00,953100,10.98634
2015-12-21,11.55,11.60,10.70,11.05,737800,11.03628
2015-12-18,11.75,11.80,10.80,11.45,1470500,11.43579
2015-12-17,12.85,13.00,11.70,11.75,793900,11.73541
2015-12-16,12.75,12.75,12.10,12.70,780700,12.68423
2015-12-15,12.95,12.95,12.65,12.70,501900,12.68423
2015-12-14,13.40,13.40,12.55,12.70,367200,12.68423
2015-12-11,13.15,13.15,12.40,12.90,564500,12.88399
2015-12-10,13.30,13.45,12.70,13.10,831400,13.08374
2015-12-09,12.95,13.40,12.50,13.30,1036400,13.28349
2015-12-08,12.95,12.95,12.95,12.95,000,12.93392
2015-12-07,12.95,12.95,12.95,12.95,000,12.93392
2015-12-04,12.40,12.95,12.35,12.95,1696400,12.93392
2015-12-03,12.30,12.50,12.25,12.30,706000,12.28473
2015-12-02,12.40,12.50,12.15,12.30,605500,12.28473
2015-12-01,12.65,12.80,12.05,12.35,453000,12.33467
2015-11-30,12.40,12.80,12.30,12.55,713500,12.53442
2015-11-27,12.30,12.30,12.30,12.30,000,12.28473
2015-11-26,11.70,12.40,11.70,12.30,1005300,12.28473
2015-11-25,11.45,11.90,11.30,11.70,750700,11.68548
2015-11-24,11.90,12.00,11.20,11.50,623600,11.48572
2015-11-23,13.00,13.00,11.70,12.00,902700,11.9851
2015-11-20,11.90,12.30,11.80,12.20,1440300,12.18485
2015-11-19,12.00,12.05,11.10,11.80,890200,11.78535
2015-11-18,12.20,12.50,11.70,11.95,859600,11.93517
2015-11-17,12.30,12.55,12.15,12.20,1643700,12.18485
2015-11-16,11.95,12.25,11.80,12.25,1301100,12.23479
2015-11-13,12.00,12.10,11.50,11.75,1055500,11.73541
2015-11-12,12.00,12.10,11.75,11.85,1912200,11.83529
2015-11-11,11.05,12.00,11.00,11.65,1326900,11.63554
2015-11-10,11.00,11.05,10.70,11.00,566600,10.98634
2015-11-09,10.85,11.05,10.70,11.00,946400,10.98634
2015-11-06,10.85,10.85,10.85,10.85,000,10.83653
2015-11-05,10.80,10.95,10.70,10.85,522700,10.83653
2015-11-04,10.70,10.80,10.55,10.80,758500,10.78659
2015-11-03,10.30,10.60,10.00,10.55,1275300,10.5369
2015-11-02,9.99,10.25,9.70,10.25,1552900,10.23728
2015-10-30,9.65,9.95,9.60,9.95,746900,9.93765
2015-10-29,10.00,10.15,9.50,9.75,1770600,9.70223
2015-10-28,9.05,9.92,9.02,9.87,2582400,9.82164
2015-10-27,8.70,9.05,8.55,8.99,1354300,8.94595
2015-10-26,8.96,8.96,8.52,8.69,1661800,8.64742
2015-10-23,8.22,8.35,8.10,8.15,1026200,8.11007
2015-10-22,7.86,8.18,7.86,8.18,546800,8.13992
2015-10-21,8.23,8.23,7.88,7.90,785900,7.86129
2015-10-20,8.02,8.27,8.00,8.23,694700,8.18967
2015-10-19,7.97,8.04,7.73,8.00,526700,7.9608
2015-10-16,8.20,8.20,7.90,7.97,1106700,7.93095
2015-10-15,8.30,8.30,8.06,8.20,703300,8.15982
2015-10-14,8.41,8.50,8.10,8.20,584200,8.15982
2015-10-13,8.66,8.80,8.40,8.45,377700,8.4086
2015-10-12,8.66,8.66,8.66,8.66,000,8.61757
2015-10-09,8.64,8.70,8.49,8.66,265300,8.61757
2015-10-08,8.95,8.95,8.53,8.64,533200,8.59767
2015-10-07,8.69,8.80,8.69,8.75,698600,8.70713
2015-10-06,8.72,8.80,8.53,8.72,568800,8.67727
2015-10-05,8.65,8.85,8.65,8.72,517200,8.67727
2015-10-02,8.30,8.63,8.30,8.62,921500,8.57776
2015-10-01,8.49,8.50,8.27,8.45,292200,8.4086
2015-09-30,8.20,8.42,8.15,8.40,724500,8.35884
2015-09-29,7.92,8.19,7.90,8.19,692000,8.14987
2015-09-28,7.70,7.92,7.35,7.91,530900,7.87124
2015-09-25,6.82,7.65,6.82,7.65,686000,7.61252
2015-09-24,6.65,6.90,6.33,6.82,305900,6.78658
2015-09-23,7.25,7.25,6.70,6.88,200200,6.84629
2015-09-22,7.30,7.30,6.70,7.04,337800,7.00551
2015-09-21,7.40,7.51,7.25,7.34,216000,7.30404
2015-09-18,7.48,7.50,7.40,7.49,268200,7.4533
2015-09-17,7.48,7.52,7.45,7.45,378400,7.4135
2015-09-16,7.20,7.49,7.20,7.38,175700,7.34384
2015-09-15,7.35,7.50,7.20,7.20,179800,7.16472
2015-09-14,7.50,7.50,7.32,7.35,305400,7.31399
2015-09-11,7.62,7.65,7.43,7.50,314700,7.46325
2015-09-10,7.65,7.75,7.40,7.65,875800,7.61252
2015-09-09,7.42,7.60,7.35,7.60,376600,7.56276
2015-09-08,7.33,7.56,7.33,7.40,633500,7.36374
2015-09-07,7.23,7.35,7.23,7.33,335700,7.29408
2015-09-04,7.30,7.40,7.18,7.20,345100,7.16472
2015-09-03,7.29,7.40,7.25,7.34,204500,7.30404
2015-09-02,7.35,7.40,7.10,7.25,760500,7.21448
2015-09-01,7.55,7.55,7.25,7.29,252800,7.25428
2015-08-31,7.35,7.52,7.20,7.48,232700,7.44335
2015-08-28,7.30,7.49,7.22,7.35,238800,7.31399
2015-08-27,7.40,7.60,7.00,7.15,594800,7.11497
2015-08-26,7.25,7.30,7.05,7.22,656100,7.18462
2015-08-25,7.20,7.50,6.95,7.15,326900,7.11497
2015-08-24,6.98,7.40,6.90,7.13,603300,7.09506
2015-08-21,8.00,8.00,7.48,7.50,463300,7.46325
2015-08-20,8.15,8.15,7.90,7.99,146200,7.95085
2015-08-19,8.09,8.09,7.98,8.05,266300,8.01056
2015-08-18,8.30,8.30,8.05,8.10,425700,8.06031
2015-08-17,8.31,8.31,8.31,8.31,000,8.26928
2015-08-14,8.27,8.39,8.20,8.31,170000,8.26928
2015-08-13,8.13,8.33,8.11,8.27,443900,8.22948
