Date,Open,High,Low,Close,Volume,Adj Close
2016-06-14,282.00,283.60,273.10,277.00,56300,277.00
2016-06-13,290.00,293.00,281.50,281.50,39900,281.50
2016-06-10,298.50,298.50,289.00,290.50,32400,290.50
2016-06-09,303.00,303.00,298.00,299.10,28100,299.10
2016-06-08,303.00,306.50,303.00,303.00,110100,303.00
2016-06-07,295.00,303.50,295.00,301.00,96200,301.00
2016-06-06,293.00,297.00,291.00,294.00,63500,294.00
2016-06-03,291.10,296.00,290.70,293.00,21600,293.00
2016-06-02,292.00,297.50,289.00,296.00,55300,296.00
2016-06-01,288.00,293.00,284.00,293.00,33200,293.00
2016-05-31,294.60,298.90,290.00,291.60,83200,291.60
2016-05-30,298.00,298.00,293.50,294.50,14800,294.50
2016-05-27,302.00,304.90,297.50,300.00,81400,300.00
2016-05-26,295.00,303.00,295.00,303.00,82500,303.00
2016-05-25,294.00,294.00,294.00,294.00,000,294.00
2016-05-24,291.00,296.00,290.00,294.00,76200,294.00
2016-05-23,288.00,292.90,288.00,291.00,44800,291.00
2016-05-20,290.00,293.00,289.50,290.00,78300,290.00
2016-05-19,289.00,289.00,283.00,288.30,50400,288.30
2016-05-18,291.00,297.00,290.00,292.00,84800,292.00
2016-05-17,285.50,293.00,285.50,291.00,54300,291.00
2016-05-16,284.00,290.50,284.00,289.00,45200,289.00
2016-05-13,293.00,293.00,283.00,285.00,100500,285.00
2016-05-12,291.50,297.40,290.00,293.50,105300,293.50
2016-05-11,280.00,291.80,280.00,291.50,71600,291.50
2016-05-10,280.00,284.50,280.00,284.50,62300,284.50
2016-05-09,281.00,284.00,277.00,280.00,57800,280.00
2016-05-06,280.00,287.00,280.00,283.50,47700,283.50
2016-05-05,279.00,287.00,279.00,282.50,107800,282.50
2016-05-04,277.00,279.00,273.00,273.50,13900,273.50
2016-05-03,282.00,282.00,272.00,275.90,25700,275.90
2016-05-02,288.95,288.95,282.15,283.50,25200,283.50
2016-04-29,285.00,289.40,285.00,289.35,42000,289.35
2016-04-28,287.00,288.00,283.00,284.00,58800,284.00
2016-04-27,286.00,290.00,283.00,286.50,67600,286.50
2016-04-26,276.50,285.70,276.50,282.75,39800,282.75
2016-04-25,289.00,289.00,275.00,276.90,60400,276.90
2016-04-22,292.00,297.50,287.00,290.50,52900,290.50
2016-04-21,295.75,297.00,289.05,292.00,53500,292.00
2016-04-20,290.00,298.50,288.00,296.00,120000,296.00
2016-04-19,271.05,288.50,271.05,288.00,154900,288.00
2016-04-18,263.25,270.50,258.00,270.50,43900,270.50
2016-04-15,263.00,271.00,263.00,265.50,27800,265.50
2016-04-14,267.00,269.50,265.00,269.00,39500,269.00
2016-04-13,262.00,265.90,257.00,265.80,100500,265.80
2016-04-12,249.00,261.50,249.00,261.00,47700,261.00
2016-04-11,245.30,249.00,245.30,247.20,33800,247.20
2016-04-08,241.00,248.00,241.00,242.50,50200,242.50
2016-04-07,243.00,244.00,236.15,238.50,38700,238.50
2016-04-06,249.00,251.95,244.00,244.75,55200,244.75
2016-04-05,251.00,253.80,246.00,246.00,25700,246.00
2016-04-04,260.90,262.00,250.00,251.70,41300,251.70
2016-04-01,260.50,261.00,256.00,261.00,41500,261.00
2016-03-31,258.25,263.90,258.25,262.50,105900,262.50
2016-03-30,261.10,265.00,255.10,255.50,32900,255.50
2016-03-29,259.50,262.00,257.00,260.00,73900,260.00
2016-03-28,257.00,261.00,252.50,260.90,26800,260.90
2016-03-25,257.00,257.00,257.00,257.00,000,257.00
2016-03-24,257.00,257.00,257.00,257.00,000,257.00
2016-03-23,259.00,260.50,254.00,257.00,37300,257.00
2016-03-22,261.75,263.40,259.50,262.00,17800,262.00
2016-03-21,263.00,265.00,252.00,262.00,116600,262.00
2016-03-18,260.00,262.00,255.00,258.10,65000,258.10
2016-03-17,247.10,260.00,247.10,255.00,87300,255.00
2016-03-16,242.00,245.00,240.50,244.50,45100,244.50
2016-03-15,246.50,246.50,240.00,240.00,36900,240.00
2016-03-14,254.90,257.00,250.00,250.00,49200,250.00
2016-03-11,268.10,268.15,256.00,257.00,85900,257.00
2016-03-10,272.00,280.00,265.00,266.00,92800,266.00
2016-03-09,284.50,286.00,275.00,275.20,50700,275.20
2016-03-08,281.00,285.00,278.00,284.50,22200,284.50
2016-03-07,281.00,284.40,280.00,280.50,70000,280.50
2016-03-04,283.00,289.00,280.00,282.00,63000,282.00
2016-03-03,290.00,298.00,285.00,286.00,104000,286.00
2016-03-02,281.00,294.00,276.00,293.50,70100,293.50
2016-03-01,288.00,295.00,284.45,285.50,75600,285.50
2016-02-29,291.00,300.00,284.00,288.00,102100,288.00
2016-02-26,297.00,300.00,290.00,291.00,200200,291.00
2016-02-25,290.00,295.00,286.00,295.00,182700,295.00
2016-02-24,279.00,291.00,268.00,290.00,97600,290.00
2016-02-23,285.00,285.00,278.00,281.75,50200,281.75
2016-02-22,272.50,286.00,271.25,285.00,121700,285.00
2016-02-19,265.00,266.00,257.25,265.00,100400,265.00
2016-02-18,271.05,277.90,264.00,268.00,127800,268.00
2016-02-17,252.10,271.00,252.10,265.75,152700,265.75
2016-02-16,253.00,253.00,243.50,251.00,59500,251.00
